,1,2,3,4,5,6,7,8,9,10,11,12,13
1949,0.3819109283,0.3742949402,-0.8448463825,0.3508609363,0.1343038633,0.0312865139,0.0111338952,0.0105607552,0.0068155003,0.0339417408,0.0223502702,0.0131000464,0
1950,0.0032765684,0.2816526534,-0.9571507888,0.0667754159,0.2187449482,0.1334545757,0.0248481343,0.0605781323,0.0153718772,0.0184078523,0.0168555115,0.0342828207,0
1951,0.2157737649,0.2334797371,-0.9470883147,0.2227775618,-0.0872394382,0.063892641,0.0194563022,0.0372307523,0.0137086968,0.0211933778,0.0081456574,0.007214581,1
1952,0.2809383904,0.3251867968,-0.9015115697,0.101058221,0.0120085108,0.1369170008,0.0242774515,0.0429942918,0.0128889406,0.1620698676,0.055543401,0.1374340273,1
1953,0.2802699363,0.2857249442,-0.9148304064,0.0413366162,-0.0529905728,0.1033262022,0.0460402699,0.0242118113,0.0137617372,0.0346085719,0.1376730471,0.1718281871,1
1954,0.2064425538,0.2527876972,-0.9449019761,0.1835007131,0.030162802,0.0614535036,0.01934931,0.015116418,0.0060980777,0.0080841866,0.0066626592,0.0061545786,1
1955,0.2872167371,0.2709427131,-0.9182353227,0.0999808347,0.2980756693,0.0821266928,0.018406606,0.0217883671,0.0112674341,0.0077176899,0.0062105309,0.0068653904,1
1956,0.3138131036,0.3488931833,-0.8814673865,-0.0376645829,-0.3641578127,0.0137482522,0.0465420187,0.0179762036,0.0179117327,0.0298594509,0.0236591887,0.0127441562,0
1957,0.3203652829,0.3199868088,-0.8889671912,0.1718787954,0.0302843359,-0.1147852189,0.044704843,0.0479401716,0.0203736657,0.1824722588,0.2249446693,0.2338294041,0
1958,0.3771182571,0.3029586612,-0.8751426408,0.0524106404,-0.3169371551,-0.0167200072,0.0055161876,0.0094582019,0.0018255535,0.0311259101,0.0399584001,0.0292290564,1
1959,0.3526330916,0.2806335418,-0.8887960398,0.3052539124,-0.2034722191,0.0091113068,0.0492480131,0.0628748292,0.0236157721,0.0273167646,0.0189717148,0.0077793752,0
1960,0.335534992,0.2713817769,-0.8960975737,-0.0068798043,-0.0038305231,-0.0390429259,0.0761886057,0.0655272413,0.0260540616,0.2471717709,0.102719424,0.0486075736,1
1961,0.3113798446,0.2544579482,-0.9145554064,0.1411676414,0.2004905378,-0.0095361255,0.0350334104,0.0202098842,0.0156953083,0.0110550246,0.0328089113,0.018340503,1
1962,0.1447586693,0.2765653785,-0.9497030956,-0.0826825729,0.319942506,0.1851541024,0.0187569031,0.0153157504,0.0058488926,0.0146096366,0.0156821194,0.0679941257,1
1963,0.2414897211,0.2505389641,-0.9092577371,0.119773522,-0.2905744088,0.2591384223,0.1534542853,0.1589895759,0.057770295,0.0856073481,0.1949426285,0.1708023472,1
1964,0.1479559044,0.3250688167,-0.9337988287,0.0240448613,0.4122899522,0.0675685641,0.0093276263,0.0183389334,0.005984232,0.0094951991,0.010225331,0.0154980596,1
1965,0.2864906414,0.248405494,-0.9253139801,-0.1254222996,0.2414667331,-0.0406848892,0.0009737185,0.0031452939,0.0010515252,0.0079095653,0.0037707054,0.0055269116,1
1966,0.354651992,0.3351775538,-0.8726961713,0.0459551991,-0.3498383347,0.0269110141,0.0129643684,0.0090289056,0.0054536037,0.0161356709,0.0137408983,0.0123277419,0
1967,0.2918170398,0.2895510717,-0.9098998486,-0.1156414757,0.3400833147,-0.1741814756,0.0426229829,0.0338868523,0.0109625172,0.0348194401,0.0335049646,0.3110505115,1
1968,0.3399158446,0.3053585299,-0.8894956056,0.0233313553,-0.0261037065,0.0803910813,0.001351879,0.0027569672,0.0012254646,0.0097591924,0.0086402098,0.0048059373,1
1969,0.2636798526,0.2916496932,-0.9173133386,0.3089013984,0.0084305706,-0.0084873648,0.0388610709,0.0446778556,0.0210543234,0.0205977233,0.0529591478,0.0470759734,1
1970,0.1675027849,0.2600756375,-0.9476507012,0.048251076,0.3228061155,0.0418952757,0.0404426336,0.0622103857,0.0274936837,0.0263188509,0.0409508501,0.0934054806,1
1971,0.0626711952,0.048567251,-0.9819180916,-0.4588009876,-0.1446397457,-0.1126161594,0.1323377218,0.1028232805,0.0382690744,0.3620737051,0.3042998593,0.1901576561,1
1972,0.3747634064,0.3204305378,-0.8694589761,-0.0387974926,-0.4220833586,-0.0790869805,0.0230224009,0.0146295578,0.0131818334,0.0184701637,0.0071364527,0.0107369141,1
1973,0.1362101952,0.1921693347,-0.9688884104,0.1143894043,0.1811674064,0.0146226012,0.0504229247,0.0527068463,0.0212704226,0.0468298769,0.020011655,0.0129119647,1
1974,0.1655583984,0.2277701116,-0.9593445219,0.256420247,-0.0446241968,0.1022849606,0.0134184879,0.0128505729,0.0049081503,0.0079250459,0.0047203419,0.001886883,1
1975,0.3338736056,0.3020718406,-0.8928989602,0.0240074536,0.0183097768,0.0106856289,0.0011780742,0.0030799538,0.0012476012,0.0168730056,0.0070761657,0.0052024777,1
1976,0.2083666414,0.2030066255,-0.9350911633,0.0121548317,-0.0527524759,0.0210625481,0.1413787528,0.1378156843,0.0446664315,0.1798113597,0.188028073,0.1995680726,0
1977,0.0430214562,0.1178390279,-0.977103741,0.1402556022,0.0892489024,0.1261078283,0.0951825174,0.138396109,0.0363072251,0.0550191773,0.0787121608,0.0236055806,0
1978,0.3079430518,0.2892894303,-0.906235502,0.1020242179,0.0131413929,-0.1405516616,0.0046503652,0.0130053418,0.0054024813,0.120864245,0.0213053317,0.054957938,1
1979,0.2959951036,0.2630946135,-0.9182092271,-0.0816971255,0.1933020478,-0.0373910697,0.0032777002,0.0064125132,0.0028386033,0.0211691802,0.0110452119,0.0096079918,1
1980,0.3264575578,0.3035283745,-0.8950913227,0.1322362518,0.1524600199,-0.0675897093,0.0055783141,0.0083931092,0.0024310152,0.032008667,0.0149896846,0.0280995714,1
1981,0.1420059721,0.2346015936,-0.9602171594,0.1395285857,0.3142045351,0.0302637777,0.0237311711,0.0430444453,0.0190635294,0.0083278856,0.022389639,0.0089238599,1
1982,0.0643744291,0.227575239,-0.9686561713,0.0735980737,0.2145007211,0.0537490558,0.0209275263,0.0707710146,0.0180044063,0.0059209253,0.0095607406,0.0113637699,1
1983,0.3068826056,0.268500502,-0.9130752629,-0.1536103068,0.1709378327,-0.0763114351,0.001868116,0.0042451235,0.0016283144,0.0136416423,0.0071831074,0.0072025434,1
1984,0.3368439801,0.3071198486,-0.8900592072,0.0663426733,0.0240926351,0.0009447493,0.0015579018,0.0022233054,0.0008759615,0.005728236,0.0041308766,0.0062791416,1
1985,0.2295657769,0.2561664422,-0.9359084064,0.2350013904,0.0195095531,-0.0327399777,0.0393084998,0.0581453299,0.0287705338,0.0248609817,0.0208321584,0.0209930034,1
1986,0.3100614701,0.2571247291,-0.9146715498,-0.3373337016,0.0181614189,0.0667734999,0.0099412693,0.0298864608,0.0115197979,0.1276326392,0.0960258027,0.0554272703,1
1987,0.214929494,0.2722973865,-0.9347941474,0.1754691685,-0.0290656396,0.0065017836,0.047206021,0.0528599214,0.0282269541,0.0387928252,0.0898269828,0.1115835232,1
1988,0.304221502,0.2860735339,-0.9071996215,-0.0726225865,0.3267018048,-0.0471019053,0.0410656654,0.0289096736,0.0088276923,0.0813668936,0.0355892512,0.2445995731,1
1989,0.3858343984,0.364129498,-0.847467259,0.5150228207,-0.0148154475,0.0223023315,0.015315731,0.0080865907,0.0063873563,0.015493333,0.0052188095,0.0047499918,0
1990,0.2780785857,0.2992066853,-0.9122618964,0.0780139865,0.0596051637,-0.12515449,0.0255616597,0.0128707412,0.0103348382,0.0118477094,0.0198236229,0.0228424836,1
1991,0.2761563785,0.2610952629,-0.9115101474,0.1643847761,0.1257915376,-0.0665796706,0.1122543977,0.1038480512,0.0364787843,0.3193100143,0.4943476655,0.1109745693,0
1992,0.3041330996,0.2824661195,-0.9094045139,-0.0245075994,0.0489602343,-0.0239444478,0.0038639939,0.0248028465,0.0083230934,0.1941737924,0.0602718167,0.1066149612,1
1993,0.2136616449,0.2294412943,-0.9392836375,-0.2191484131,0.2326207372,0.2947913849,0.0930440245,0.1003615307,0.0268702453,0.1153670338,0.1333435118,0.1503274452,1
1994,0.2670359602,0.2593191912,-0.9257300598,0.0437004579,-0.096622682,-0.0735512579,0.0541095726,0.0328172602,0.02155032,0.0746335721,0.1362388515,0.0947511743,0
1995,0.3197875538,0.3271463267,-0.8891483506,0.037400341,-0.0361992339,0.1580059641,0.0030116617,0.0103409929,0.0032302222,0.0336429051,0.0102420567,0.0220017427,1
1996,0.3426366295,0.2900116335,-0.8935764462,-0.0144490557,-0.0197567663,-0.0128489109,0.0016061081,0.0031178174,0.0015013482,0.0083768464,0.0121944877,0.0141299797,1
1997,0.3252808088,0.2933808367,-0.8989522908,0.0517856713,0.0569805673,-0.0060470926,0.000897775,0.0018740656,0.0007795685,0.006511338,0.0060762526,0.0045473143,1
1998,0.2799528048,0.2545629482,-0.9245997131,-0.2073979984,0.3197287769,-0.2061680182,0.0191780166,0.0382612692,0.0103804491,0.068752281,0.0375398277,0.2478815735,1
1999,0.315658255,0.3010898127,-0.899754247,-0.0185636447,0.1699069996,0.006376754,0.007106027,0.0085965335,0.0047700608,0.0879980462,0.0412005176,0.0331724969,1
2000,0.2689532231,0.2507741594,-0.9296561514,-0.1888323426,0.3079437689,-0.3368082072,0.0117763934,0.018402844,0.006209217,0.009090848,0.0204914171,0.0115851663,1
2001,0.3188013068,0.2738172908,-0.9070698207,-0.0665268749,0.0149852703,0.0174994969,0.0141934477,0.0177058871,0.0099601214,0.0763399757,0.1179462271,0.0413965458,0
2002,0.3561898566,0.3019700159,-0.8839939641,0.0432131554,0.1172935533,-0.0415934914,0.0074135904,0.0191809679,0.0086431772,0.1027623642,0.0283848068,0.0552670029,1
2003,0.3225749562,0.2956004143,-0.8991390558,-0.0062254379,0.1145990474,-0.0159687438,0.0048503872,0.0086161043,0.004110901,0.0543281401,0.0234904119,0.0288169502,1
2004,0.3052406255,0.2758412988,-0.9108488247,-0.0709093869,0.1221472524,-0.2797991912,0.0264782619,0.0179777603,0.0083578663,0.0301376962,0.0678003828,0.0730895822,1
2005,0.0700282988,0.2103368088,-0.9746274861,0.0654813147,0.3529765936,0.035109259,0.0210580811,0.0214249628,0.0072982923,0.0054951805,0.0082372407,0.0067676659,1
2006,0.3376694143,0.2901331275,-0.8846837092,0.1196893936,-0.6060897092,0.0040330428,0.1011754862,0.0876872878,0.0348046234,0.1192403145,0.0969825553,0.0966907617,0
2007,0.3887577729,0.3532016534,-0.8506036614,0.5110604622,-0.0202987604,0.0111407162,0.0209972028,0.008408542,0.0088238777,0.0166662279,0.010741872,0.0194951726,0
2008,0.3547362032,0.3284455817,-0.8749630717,-0.013976109,-0.291917259,0.0155944734,0.0224139825,0.012375027,0.0083522831,0.0513105588,0.0305727959,0.0305394718,0
2009,0.3244251116,0.3299082669,-0.8723645896,0.5110362311,-0.0255982451,0.1621740235,0.1062133129,0.1085825104,0.0426323925,0.2028504984,0.0297766495,0.0807087983,0
2010,0.2804807211,0.2900985378,-0.9143973227,0.1358661578,0.2867957052,0.0505869856,0.0250449957,0.0167730067,0.011929369,0.031791882,0.0127478219,0.0422222475,1
2011,0.3178470677,0.3028835378,-0.8984283506,0.0552476296,0.263817506,-0.081514761,0.0057928697,0.0049749122,0.0017300051,0.0666348888,0.0759248943,0.0803993293,1
2012,0.306294741,0.2602684104,-0.914716239,-0.0042111049,0.0450224176,-0.2188577948,0.0344039625,0.0201542997,0.0121759645,0.0658614398,0.033480198,0.0555584675,1
2013,0.3156700398,0.3237055179,-0.8918887849,0.10206376,0.0850177406,0.1300400361,0.006933245,0.0071354454,0.0016193836,0.0354388691,0.0212287495,0.1308863312,1
2014,0.2467284343,0.3525056892,-0.8995617131,-0.0726727497,0.4459895179,0.335989404,0.0491674479,0.0556574026,0.0117658439,0.1350013126,0.2157244564,0.4202635703,0
2015,0.3258959721,0.3088530199,-0.8933337131,0.0567122288,0.054018354,0.0443864485,0.0095424869,0.0145125301,0.0074046798,0.0285845191,0.1172569442,0.0839838598,0
2016,0.215414004,0.2812630677,-0.9327401554,0.3618092629,-0.1421262191,0.0726020331,0.0446900375,0.042706644,0.0257424943,0.0077897352,0.0039194339,0.0047108512,1
2017,0.3194278805,0.3117081992,-0.894867988,0.0654277689,0.1589127012,0.0379054861,0.0012592395,0.0034061684,0.0013714496,0.007486931,0.0069157131,0.0061116582,1
2018,0.2987419044,0.2945135936,-0.9075462789,0.0841624036,0.1144269594,-0.0957852497,0.0094862551,0.0148751293,0.0079717107,0.0214146737,0.1384172767,0.1565676234,1
2019,0.0814721489,0.2686942032,-0.9576933785,-0.1694306761,0.2014718765,0.0011675716,0.0531657824,0.0294549948,0.0171751505,0.0229886814,0.0269259228,0.0259580921,0
2020,0.150831996,0.299359749,-0.9416873426,0.1761518928,-0.0217199253,0.5470378486,0.0163952278,0.0234713808,0.0062189017,0.0389272472,0.0246411088,0.034043763,1
